location,latitude,longitude
Holywood,54.6404494,-5.8361723
North Cray,51.4251795,0.1345992
Portknockie,57.7034964,-2.8581483
Blairskaith,55.952868,-4.2515364
Onehouse,52.1975136,0.9543305
Poling Corner,50.8422347,-0.5138469
Rhydyfelin,51.5849564,-3.3064646
Old Felixstowe,51.9702624,1.3671791
Vauxhall,51.4874834,-0.1229297
Pencraig,52.2247312,-3.1002924
Carrickfergus,54.7136165,-5.8073112
Mutford,52.4359451,1.6513565
Pillerton Priors,52.1265993,-1.5735999
Ballymacarret,54.5978097,-5.8974846
Pulborough,50.9575636,-0.5097654
Dufftown,57.4449043,-3.1283484
Reigate,51.2376557,-0.2057067
Pont Rhyd-Y-Cyff,51.5904461,-3.623818
Paddington,51.5161629,-0.1744856
Palgrave,52.3644842,1.1044938
Lisson Grove,51.523199,-0.1662578
Nayland,51.9721605,0.8745995
Ty'n-Y-Garn,53.3703774,-4.5141119
Pot Common,51.1791357,-0.7030576
Pen-Y-Park,53.2676495,-4.2994207
Moss Of Barmuckity,57.6356647,-3.2688632
Manchester,53.4794892,-2.2451148
Cunningburn,54.569174,-5.6276574
Bexleyheath,51.4634854,0.1480552
Pentre Bychan,53.0220883,-3.0374028
Hopeman,57.7073279,-3.4331357
Clachan Of Campsie,55.9886619,-4.2285997
Belgravia,51.4982128,-0.1534998
Bearsden,55.920461,-4.3332046
Pirbright Camp,51.3022759,-0.6750808
Pentre Cilgwyn,52.7753114,-3.248559
Chichester,50.8364862,-0.7791721
Page's Green,54.71356,-1.6389433
Thamesmead,51.4989335,0.1148486
Cadder,55.8967587,-4.2760654
Pontyclun,51.5251887,-3.3901536
Outwood,53.7152957,-1.5104273
St James,51.5063729,-0.1346348
Nethermills,57.5389155,-2.818517
West Heath,52.397718,-1.9601801
Harestanes,55.9447839,-4.1293928
St Luke's,51.4896338,-0.1694392
Fluchter,55.9440943,-4.2658689
Ardmillan,55.9384662,-3.2252298
Merthyr Mawr,51.4850621,-3.6089595
Peterstow,51.9170501,-2.635686
Knight's Hill,51.4292285,-0.1042492
Cliftonville,51.3878281,1.3983818
New End,53.2506959,-0.1427819
Naughton,52.1023678,0.9575691
Streatham Vale,51.4167589,-0.1378348
Pillerton Hersey,52.1363333,-1.5625084
Paradise Green,53.7842911,-1.795108
Newnham,51.2790688,0.7937117
Nottage,51.4914372,-3.7100741
Portgordon,57.6634931,-3.0160386
Ballydrain,54.516667,-5.683333
Egham,51.4312585,-0.5473085
Wrexham,53.0465084,-2.9937869
Greyabbey,54.5362024,-5.5604594
Haywards Heath,50.9999616,-0.1049747
Balgrochan,55.9462846,-4.2087617
Waterside,55.6628704,-4.4093281
Pentre Broughton,53.0732046,-3.0367443
Neal's Green,51.4509802,-0.1761938
Westbourne Green,51.5189617,-0.1908172
West Dulwich,51.4370692,-0.0947678
Mill Hills,52.0969479,1.3143185
Palmers Cross,52.612698,-2.167304
Pound Hill,51.1212595,-0.1502329
Clerkenwell,51.5237268,-0.1055555
Rothes,57.5270687,-3.207733
Penygraig,51.6132421,-3.4472294
Six Road Ends,54.6286172,-5.6321415
Penprysg,51.8580364,-3.1156418
Crawfordsburn,54.658431,-5.727932
Oulton,52.4923127,1.7175239
Poynings,50.8942558,-0.2040559
Minera,53.0595773,-3.0847218
Falconwood,51.4592305,0.0793044
Carrowdore,54.5761845,-5.5536121
Fochabers,57.6140998,-3.0974475
Strand,51.5134265,-0.1132218
Shankill,53.2366973,-6.1170439
Sarn,52.5101617,-3.1740724
Barnsbury,51.5389351,-0.114735
Portway,51.4716966,-2.6445222
Bridgend,51.5049859,-3.5756674
Llan-Y-Pwll,53.0609631,-2.9381237
Ponciau,53.0134176,-3.0485779
Crayford,51.4515584,0.1787188
Tulse Hill,51.4412109,-0.1020591
Stanleytown,51.6436599,-3.4294156
Phocle Green,51.9335038,-2.5441585
Helens Bay,54.6754993,-5.7360033
Offton,52.1062544,1.0146335
Paynes Green,51.1255498,-0.360305
Pimlico,51.4889993,-0.1398817
Killinchy,54.4722828,-5.6756451
Polesden Lacey,51.2574761,-0.3734675
Pontshill,51.8951258,-2.5263405
Greenisland,54.7002866,-5.8728529
Bayswater,51.5122764,-0.1883854
Tythegston,51.4970611,-3.6480671
Knockandhu,57.319929,-3.4106454
Penrhiwfer,51.5862081,-3.4347854
Pool Head,52.8860212,-2.7468308
Kinloss,57.634864,-3.5702598
Parliament Heath,53.4349481,-2.7541462
Prinsted,50.8443898,-0.9138975
Auchenreoch,56.7815183,-2.6535733
Twechar,55.952556,-4.0824954
Porthcawl,51.4795563,-3.7040704
Nextend,52.2120499,-2.977691
Finsbury Park,51.5648345,-0.1064144
Pixham,51.2422736,-0.31774
Newbold On Avon,52.3905485,-1.2822115
Parton,54.5696004,-3.5802748
Pachesham Park,51.3193849,-0.3355337
Cullen,57.6911126,-2.8195913
Marylebone,51.5196374,-0.1519627
Plas Coch,53.0549538,-3.0061492
Lowestoft,52.4766308,1.7537638
Sydenham,51.4267658,-0.0523877
Lambeth,51.4952111,-0.1163354
Mulben,57.542031,-3.079691
Portaferry,54.3806965,-5.5485491
Nethercote,52.0676866,-1.3052395
Wattstown,51.6351228,-3.4195847
Northend,51.6264523,-0.9401183
Bognor Regis,50.7834973,-0.6730718
Pont-Y-Blew,52.938993,-3.0327137
Pen-Y-Cae,53.0009222,-3.076666
Taffs Well,51.5412435,-3.2638929
Finaghy,54.5638412,-5.9866704
Rhondda,50.1938336,-5.4234913
Tynewydd,51.7830787,-4.305441
Hereford,52.0553813,-2.7151735
Perton,52.5957196,-2.2033801
Portslade-By-Sea,50.8329633,-0.2070213
Chertsey,51.392296,-0.5038294
Norton Lindsey,52.2701459,-1.6603264
Pentrebach,51.7239358,-3.3566675
Leatherhead,51.2955044,-0.32931
Pakenham,52.2708828,0.824077
Bedworth,52.4792826,-1.4663202
New Bilton,52.3730633,-1.2753185
Mayfair,51.5110872,-0.147058
Streatham Hill,51.4406366,-0.122249
Milngavie,55.9410791,-4.3178027
Miltonduff,57.6216657,-3.3715193
Belfast,54.5975805,-5.9277097
Legoniel,54.6336285,-6.0083733
Lessness Heath,51.482569,0.1462903
Old Newton,52.2245535,1.003973
Nuns Quarter,54.5,-5.533333
Kircubbin,54.4870904,-5.53201
Park Gate,50.8718293,-1.2683985
Rydens,50.952211,-0.0625041
Maida Vale,51.527592,-0.1905916
Penrhiwceiber,51.6694039,-3.3709742
Portavogie,54.4612678,-5.4433576
Birmingham,52.4796992,-1.9026911
Nant-Y-Moel,51.6259632,-3.5415682
Westminster,51.5004439,-0.1265398
Orcop Hill,51.9484573,-2.7580368
Nantyffyllon,51.6218305,-3.6606476
West Norwood,51.4346192,-0.1036917
Longlands,51.4304854,0.0841774
Pirbright,51.2927271,-0.6659886
Mawdlam,51.5227522,-3.7198529
Coedpoeth,53.0539823,-3.063956
Salfords,51.2017863,-0.1622843
Lossiemouth,57.7220766,-3.2814625
Pontygwaith,51.6374958,-3.4322886
Pakefield,52.4521592,1.72549
Lhanbryde,57.6355473,-3.2163153
Pen-Yr-Heol,51.9055987,-3.2122542
Llay,53.0970796,-2.9994725
Penley,52.9518814,-2.8728718
Moreton Morrell,52.2010643,-1.5469506
Ballywalter,54.5439048,-5.4867684
Povey Cross,51.1642945,-0.1866248
Copthorne,51.1375872,-0.1197822
Nantgarw,51.5620667,-3.2637425
Birdston,55.9521279,-4.156997
East Wickham,51.4714275,0.1104824
Overton Bridge,52.9784362,-2.962422
Perthcelyn,51.6676464,-3.3655524
Dublin,53.3493795,-6.2605593
Pen-Y-Fai,51.5253661,-3.5958372
St John's Wood,51.531726,-0.1741901
Finsbury,51.521798,-0.0914245
Newtownards,54.5933779,-5.6960935
Littlehampton,50.8095801,-0.5424424
Maggieknockater,57.498318,-3.1396696
Newhall Green,52.4717582,-1.6135224
Kirkintilloch,55.9383914,-4.1549049
Poling,50.8329431,-0.5151971
Pentre,51.6553596,-3.4905245
Park Barn,51.2461864,-0.6087393
Tynant,53.189556,-2.4921842
Knockando,57.4654479,-3.3557951
Donaghadee,54.6425446,-5.5375794
Stanwell,51.4544049,-0.4778216
Plaistow,51.5311544,0.0166833
Mynachdy,51.5039106,-3.2018075
Ogmore Vale,51.6029957,-3.5416491
New Elgin,57.6367392,-3.3077192
Pendre,52.5872348,-4.081217
Stockwell,51.472211,-0.1225014
Monwode Lea,52.5216599,-1.6073581
Conlig,54.6294391,-5.6772097
Coldblow,51.4383389,0.1624884
Findhorn,57.6591141,-3.6107041
Whitehouse Upper,51.5173585,-1.5456494
Shelf,53.7537088,-1.8158982
Pains Hill,52.1945669,1.0978376
Little Green,52.4959178,1.1313988
Groomsport,54.6748519,-5.6180066
Godalming,51.1857892,-0.6149074
Pontypridd,51.6001047,-3.3449362
Penycae,53.0009222,-3.076666
Peterchurch,52.0404061,-2.9536966
Robertstown,53.2697889,-6.8161946
Sidcup,51.4264002,0.101044
Nuneaton,52.5227973,-1.4679663
Farnham,51.2151749,-0.7984854
Preston Fields,52.1602374,-1.7414072
Llwydarth,51.5994694,-3.6472708
Burghead,57.7016831,-3.4901659
Blackfen,51.4505408,0.1030617
Pencoed,51.5256116,-3.506453
Ballycarry,54.7772868,-5.7256699
Pyrford Village,51.3148713,-0.5080968
Norbridge,52.1038693,-2.4141276
Penderyn,51.7687508,-3.5269801
Rhigos,51.7390226,-3.5636396
Forres,57.609864,-3.613215
Old Arley,52.5131924,-1.5847807
Ocle Pychard,52.1116981,-2.5903466
Tylorstown,51.6481353,-3.4296803
Merehead,52.9433385,-2.8146581
Pentre Maelor,53.033745,-2.9347569
No Man's Heath,52.6772443,-1.5726082
Lochhill,54.8936219,-4.0757872
Price Town,51.6181679,-3.5360704
Bishopbriggs,55.9039659,-4.2244495
Parham,52.1951933,1.3739492
Newton Regis,52.6636359,-1.5912951
Kirkistown,55.1382346,-6.6076289
Norwich,52.6285576,1.2923954
Buckie,57.6763316,-2.9648866
Regent's Park,51.530107,-0.1537691
Park Lane,51.5110831,-0.1570975
Nacton,52.0154281,1.2335833
Orcop,51.9317382,-2.7653335
Portfield,56.3711805,-5.6997043
Painters Green,52.963012,-2.7408673
Pontycymer,51.6088629,-3.5797523
Kennington,51.4882861,-0.1058829
Highbury,51.5457996,-0.1027127
Balmore,55.9346593,-4.2389935
Marypark,57.4297748,-3.3423989
Skegoniel,54.6238036,-5.931615
Cloghy,54.4283218,-5.4809287
New Broughton,53.0580787,-3.0324199
Maesteg,51.6088841,-3.6583848
Mosstodloch,57.6255764,-3.1255805
Walton-On-Thames,51.3856837,-0.419814
Tylagwyn,51.5862902,-3.572167
New Arley,52.5047874,-1.5697679
Whitehouse Lower,52.0698446,1.1365029
Warwick,52.2814519,-1.5815742
Parkgate,53.2971886,-3.0836187
Beccles,52.4583779,1.5622924
Prey Heath,51.2905261,-0.5783965
Napton On The Hill,52.2456692,-1.3207064
Ousden,52.2079711,0.5433546
Oxted,51.2566507,-0.0041977
Moss-Side,53.4547635,-2.2442531
Oulton Broad,52.4749845,1.7086107
Preston Bagot,52.2880201,-1.7473422
Horsham,51.0630273,-0.3295028
Newcastle,54.9738474,-1.6131572
Comber,54.5498342,-5.7454313
Talbot Green,51.5364126,-3.3867954
Nowton,52.2150263,0.7317251
Pembridge,52.2186352,-2.8928778
Newbridge,53.1801492,-6.7981931
Mount Sion,52.2557189,-7.1145025
Lower Holloway,51.5544402,-0.1148807
Soho,51.5140654,-0.13504939999999999
Mountain Ash,51.6821033,-3.3764418
Crawley,51.1103444,-0.1801094
Glastry,54.483333,-5.483333
London,51.4893335,-0.1440551
Llanarmon Dyffryn ...,52.8845606,-3.238418
Clapham,51.4614469,-0.138627
Peaslake,51.1916244,-0.4464771
Nebsworth,52.0816049,-1.7121165
Ringboy,54.2458024,-5.7009278
Canonbury,51.5423339,-0.0914333
Bardowie,55.933164,-4.2687363
Pen-Y-Bryn,52.9728756,-3.4723308
Ton-Teg,51.5673003,-3.3061642
Orford,52.0949765,1.5344399
Peartree Green,50.9037457,-1.3790567
Knockbog,57.5794657,-2.783669
Whitehead,54.752288,-5.7095043
South Lambeth,51.4989328,-0.1120142
Quags Corner,50.98572,-0.774235
Monks Kirby,52.4443994,-1.3166666
Northumberland Hea...,54.9159348,-2.2979919
Ballygowan,54.5018813,-5.7918013
Pencombe,52.1715573,-2.5880184
Polesworth,52.6258348,-1.6107049
Nether Whitacre,52.5336597,-1.6603787
High Gallowhill,55.8445894,-4.430768
Mousley End,52.3231174,-1.6875805
Leeds,53.7974185,-1.5437941
Colston,55.8984135,-4.2365661
Pen-Y-Rhiw,51.8343982,-3.155237
Lenzie,55.9213422,-4.1539264
Moreton Paddox,52.1878758,-1.5539013
Rugby,52.3726682,-1.2620038
Kilroot,54.726551,-5.7692322
Peasmarsh,50.9742747,0.6768528
Newbold-On-Stour,52.1145861,-1.6400434
Edinburgh,55.9533456,-3.1883749
Oxgang,53.9227777,-0.324683
Oxshott,51.3361004,-0.3625418
Pontfadog,52.9347991,-3.1407356
Penrhos,51.8009558,-2.8494736
Brixton,51.4633914,-0.1148023
Morton Bagot,52.2803947,-1.8377381
Penywaun,51.7308006,-3.4846295
Pentonville,51.5321048,-0.1148938
Otley,53.9055083,-1.6938874
Pipe And Lyde,52.0920628,-2.7157451
Norton Canon,52.1217864,-2.9060655
Royal Leamington S...,52.2884656,-1.5370199
Occold,52.2921826,1.1595123
Ton Pentre,51.6475962,-3.4884059
Upper Boat,51.5741526,-3.2867957
Lennoxtown,55.9731494,-4.1992427
Pitch Place,51.2646169,-0.5973849
Peper Harow,51.1888456,-0.6648798
Barnehurst,51.4650212,0.1596467
Drumhirk,53.953778,-7.236077
South Cornelly,51.5106458,-3.7017001
Pipe Aston,52.3432258,-2.7918256
Streatham Park,51.4249832,-0.1452011
Broadford,57.2410146,-5.9061803
North Cornelly,51.5214781,-3.7026884
Barnes Cray,51.4553884,0.1936238
Moycroft,57.6491424,-3.2925175
Lower Auchenreath,57.6603292,-3.0528593
Exeter,50.7256138,-3.5269209
Pandy,52.6266098,-3.6191026
Pant-Y-Pyllau,52.3622273,-3.4976969
Marford,53.0911459,-2.9600738
Ipswich,52.0579324,1.1528095
Oldhall Green,55.851741,-4.4091762
Pont-Y-Rhyl,51.591762,-3.5787022
Slade Green,51.4676731,0.1903098
Monks Eleigh,52.0920401,0.8694358
Clapham Park,51.4562426,-0.1318354
Ynysybwl,51.6387679,-3.3590171
Findochty,57.6977626,-2.9030377
Streatham,51.429769,-0.1311105
Plough Hill,51.520972,-1.7280827
Bellahill,56.6884922,-2.7581861
Stranmillis,54.5701181,-5.9350016
Millisle,54.60782,-5.5284632
Llwynmawr,52.9251076,-3.1579074
Porth,50.3494152,-4.7050945
Banstead,51.3238969,-0.1986813
Furzedown,51.424389,-0.1537022
Staines,51.434012,-0.511044
Penrhys,51.6448998,-3.4423189
Millersneuk,55.9209746,-4.1514319
Pontrilas,51.9442213,-2.8778574
Marchwiel,53.0234574,-2.9598927
Balmoral,57.0406914,-3.2301053
Poolmill,50.6259461,-3.6880799
Nether Dallachy,57.6603208,-3.0734293
Islington,51.5384287,-0.0999051
Foots Cray,51.4186732,0.1180187
Whiterock,54.4815501,-5.6470077
Cultra,54.6523133,-5.8049808
Waun Y Gilfach,51.5816987,-3.6630988
Newbold Pacey,52.2120064,-1.5667409
Burgess Hill,50.9575365,-0.1332853
Pen-Rhos,53.0731151,-3.0728715
Brompton,54.3617085,-1.4237114
Nutfield,51.2268501,-0.1345793
Pant-Yr-Awel,53.2026932,-3.4615353
Wig Fach,51.492277,-3.6607318
East Grinstead,51.1285649,-0.0142988
Pyecombe,50.8969893,-0.1605507
Guildford,51.2356068,-0.5732063
Milton Of Campsie,55.962501,-4.1617181
Erith,51.480819,0.1792322
Bar Hall,54.33801,-5.5079063
Lintmill,55.5159963,-2.5996994
Ardkeen,52.7731602,-7.9158815
